,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL,data_chart
107,"Cabeça Voando","Os Barões Da Pisadinha",117112,https://open.spotify.com/track/6wDzwmywQ2X8O0FN1IQGol,2020-10-08
108,"For The Night (feat. Lil Baby & DaBaby)","Pop Smoke",117070,https://open.spotify.com/track/0PvFJmanyNQMseIFrU708S,2020-10-08
109,"Bebe e Vem Me Procurar","Raí Saia Rodada",115669,https://open.spotify.com/track/3tu0GkIZwwkmILoD4HemBq,2020-10-08
110,"Bebi Minha Bicicleta (Coração Falido) - Ao Vivo","Zé Neto & Cristiano",115640,https://open.spotify.com/track/2Q9TaUXNM4mNSCgJjbmsJe,2020-10-08
111,"Break My Heart","Dua Lipa",114441,https://open.spotify.com/track/017PF4Q3l4DBUiWoXk4OWT,2020-10-08
112,"Bet You Wanna (feat. Cardi B)",BLACKPINK,114298,https://open.spotify.com/track/7iAgNZdotu40NwtoIWJHFe,2020-10-08
113,"Poesia Acústica #6: Era uma Vez","Pineapple StormTv",114196,https://open.spotify.com/track/13Rf6RaZT13TW4xLQR3MQr,2020-10-08
114,"Pretty Savage",BLACKPINK,113035,https://open.spotify.com/track/1XnpzbOGptRwfJhZgLbmSr,2020-10-08
115,"Deixa (feat. Ana Gabriela)",Lagum,112649,https://open.spotify.com/track/3fLqmaO4vvZpFZSZy52VMp,2020-10-08
116,"Rain On Me (with Ariana Grande)","Lady Gaga",111675,https://open.spotify.com/track/7ju97lgwC2rKQ6wwsf9no9,2020-10-08
117,"Céu de pipa","MC Marks",111303,https://open.spotify.com/track/2DQ09MyIaXu5F1ly4MEvDM,2020-10-08
118,"death bed (coffee for your head)",Powfu,110085,https://open.spotify.com/track/7eJMfftS33KTjuF7lTsMCx,2020-10-08
119,"Casa de Praia - Ao Vivo","Os Barões Da Pisadinha",109063,https://open.spotify.com/track/5iHJ6FB4iWVcaY7iDYJrJB,2020-10-08
120,"Qual é a do amor (feat. Atitude 67) - Ao vivo","João Gustavo e Murilo",108773,https://open.spotify.com/track/3rfPuNpqMHQKXIPoEF5iFB,2020-10-08
121,"Breaking Me",Topic,108581,https://open.spotify.com/track/3H7ihDc1dqLriiWXwsc2po,2020-10-08
122,Señorita,"Shawn Mendes",107882,https://open.spotify.com/track/6v3KW9xbzN5yKLt9YKDYA2,2020-10-08
123,"Holy (feat. Chance The Rapper)","Justin Bieber",107669,https://open.spotify.com/track/5u1n1kITHCxxp8twBcZxWy,2020-10-08
124,"Aí Eu Bebo - Ao Vivo","Maiara & Maraisa",107524,https://open.spotify.com/track/2Ou6UYuUbNyqwXxRDSeFRf,2020-10-08
125,"Tudo de bom",Pk,105958,https://open.spotify.com/track/3YqLyRFwjGuPBT7EHoyQH7,2020-10-08
126,"Textão - Ao Vivo","Zé Neto & Cristiano",104675,https://open.spotify.com/track/2uhBCMHwS3SATOHIgM2KPF,2020-10-08
127,"Se Eu Fosse Você - Ao Vivo","Henrique & Juliano",104149,https://open.spotify.com/track/3HXLUh9lzSrSLvrvLk2LjC,2020-10-08
128,"Com ou Sem Mim - Ao Vivo","Gustavo Mioto",103412,https://open.spotify.com/track/5L8ZEyIdZ2KE4Wf51SsuOF,2020-10-08
129,BALANÇA,"WC no Beat",103394,https://open.spotify.com/track/1neg4NArvpVL7AOWIBja6q,2020-10-08
130,Hawái,Maluma,102882,https://open.spotify.com/track/1yoMvmasuxZfqHEipJhRbp,2020-10-08
