,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
82,"Um Sabadão Desse Uma Lua Dessa","Mc Talibã",143064,https://open.spotify.com/track/3KfyRuNdcCGsZb15sqrXDA,2020-11-05
83,"Declaração pro Bar - Ao Vivo","Guilherme & Benuto",142862,https://open.spotify.com/track/48CAeajgzcGJaVUSsXd7h0,2020-11-05
84,"Party On My Own (feat. FAULHABER)",Alok,142502,https://open.spotify.com/track/4c9Py6O1NeuYKbJ8Ok7mTl,2020-11-05
85,"Seu Beijo Joga Sujo","Avine Vinny",141783,https://open.spotify.com/track/2enk2whIgJyoe0O9HRQZJV,2020-11-05
86,"Meu Lado da História",Nandx710,141106,https://open.spotify.com/track/08LiZsFrLkWYtd20jeqWLh,2020-11-05
87,"Dance Monkey","Tones And I",134624,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku,2020-11-05
88,"Don't Say Goodbye (feat. Tove Lo)",Alok,130576,https://open.spotify.com/track/0GTPmh5G40joBg93vcSQNq,2020-11-05
89,"Então Toma - Ao Vivo","Matheus & Kauan",129423,https://open.spotify.com/track/5yaXBGNko8lmFSOvKWo99j,2020-11-05
90,"Casa de Praia - Ao Vivo","Os Barões Da Pisadinha",127571,https://open.spotify.com/track/6Teco2qa7OBfa7mjaMYSbO,2020-11-05
91,"Mentira - Ao Vivo","Felipe Araújo",126111,https://open.spotify.com/track/3oe0vGmQxem3DcarYMuzu1,2020-11-05
92,"3 Batidas - Ao Vivo","Guilherme & Benuto",124834,https://open.spotify.com/track/1uryupl9hqVZYurJwH4G9k,2020-11-05
93,34+35,"Ariana Grande",124465,https://open.spotify.com/track/6Im9k8u9iIzKMrmV7BWtlF,2020-11-05
94,"Uma Vida a Mais (Listen To Your Heart)","Marília Mendonça",124282,https://open.spotify.com/track/2hqRWWmbHT9CTc5a4a9NVe,2020-11-05
95,"Ta Com Saudade Quer TBT ?","Mc Talibã",124112,https://open.spotify.com/track/4i1U2ZQJdVCAczbiwsXf3H,2020-11-05
96,"Someone You Loved","Lewis Capaldi",123145,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf,2020-11-05
97,"Kenny G",Matuê,122609,https://open.spotify.com/track/3MkdA6vwF0ifRl86yzTlJW,2020-11-05
98,"É Sal",Matuê,120679,https://open.spotify.com/track/2c80HnIOPMmQQVQllQEWb5,2020-11-05
99,"Vai Lá","Wesley Safadão",119711,https://open.spotify.com/track/1NFRjwcyR91yN0cLRm8263,2020-11-05
100,"Eu Tenho Medo","Zé Vaqueiro",118916,https://open.spotify.com/track/2bWkoJEjcPiBKnKqvTJ25D,2020-11-05
101,"Vira Homem","Marília Mendonça",118533,https://open.spotify.com/track/0GrEqRHf5FioT1hOB8PBxZ,2020-11-05
102,"Meu Abrigo",Melim,118197,https://open.spotify.com/track/5U28PY9MekLyCBYtLHGQpe,2020-11-05
103,"Eu Feat. Você",Melim,117792,https://open.spotify.com/track/2PaOWQIEkSFkmONCv1Vgui,2020-11-05
104,"Cuidado Que Eu Te Supero","Yasmin Santos",117507,https://open.spotify.com/track/5J4tK2FbXQEeC0AsfFgwpz,2020-11-05
105,inesquecível,"GIULIA BE",117040,https://open.spotify.com/track/3bUDPTCStUeLcUgXgvepQh,2020-11-05
106,"Como Se Tá Maravilhosa","Mc Lipi",116520,https://open.spotify.com/track/0eLCuW89pb6I3BC0NMGHFW,2020-11-05
107,"E Nós Tem um Charme Que É da Hora","Mc Dricka",115589,https://open.spotify.com/track/4koUrXFuoId1b6wrMF3laS,2020-11-05
108,"Ice Cream (with Selena Gomez)",BLACKPINK,114402,https://open.spotify.com/track/4JUPEh2DVSXFGExu4Uxevz,2020-11-05
109,Pupila,ANAVITÓRIA,112823,https://open.spotify.com/track/7Gk5OrMYaMRtT2JmgJVAfk,2020-11-05
110,"For The Night (feat. Lil Baby & DaBaby)","Pop Smoke",112648,https://open.spotify.com/track/0PvFJmanyNQMseIFrU708S,2020-11-05
111,"Supera - Ao Vivo","Marília Mendonça",112390,https://open.spotify.com/track/3GmJxfnUDrIs1iCfKUELFz,2020-11-05
112,"Revoada do Tubarão","MC Ryan SP",111642,https://open.spotify.com/track/0C1cJj3ZNCS75sojrcMhZV,2020-11-05
113,"Bebi Minha Bicicleta (Ao Vivo)","Zé Neto & Cristiano",111295,https://open.spotify.com/track/3mP7qouEZRIpGsJ5cL4yBE,2020-11-05
114,"Poesia Acústica #6: Era uma Vez","Pineapple StormTv",110413,https://open.spotify.com/track/13Rf6RaZT13TW4xLQR3MQr,2020-11-05
115,"ROCKSTAR (feat. Roddy Ricch)",DaBaby,110242,https://open.spotify.com/track/7ytR5pFWmSjzHJIeQkgog4,2020-11-05
116,"(não) era amor","GIULIA BE",109837,https://open.spotify.com/track/7DmZMqXYgQ1oI3z3bGUEbi,2020-11-05
117,"Você Nem É Tudo Isso","Marília Mendonça",109342,https://open.spotify.com/track/0zhnWntcmhChM7PXSWuNNq,2020-11-05
118,"Quase uma Semana",BIN,107691,https://open.spotify.com/track/4a5YIaK7qFu6T63GeYx1Ih,2020-11-05
119,"Holy (feat. Chance The Rapper)","Justin Bieber",107674,https://open.spotify.com/track/5u1n1kITHCxxp8twBcZxWy,2020-11-05
120,"Deixa (feat. Ana Gabriela)",Lagum,107072,https://open.spotify.com/track/3fLqmaO4vvZpFZSZy52VMp,2020-11-05
121,Reincidente,"Felipe Araújo",107011,https://open.spotify.com/track/3XG1frltSxibGuYLPucxl8,2020-11-05
122,"How You Like That",BLACKPINK,105994,https://open.spotify.com/track/4SFknyjLcyTLJFPKD2m96o,2020-11-05
123,"Lonely (with benny blanco)","Justin Bieber",105901,https://open.spotify.com/track/4y4spB9m0Q6026KfkAvy9Q,2020-11-05
124,Confidencial,"Wesley Safadão",105837,https://open.spotify.com/track/7Kb4TOsH22ZLrBkZx1p0SZ,2020-11-05
125,"Set 2.0: Homenagem aos Relíquias","DJ Matt D",105450,https://open.spotify.com/track/566AZpR4FJErkhS3CmuaWu,2020-11-05
126,"On & On",Alok,103825,https://open.spotify.com/track/7sYAS4CpbV90oSemgaEQat,2020-11-05
127,"Rain On Me (with Ariana Grande)","Lady Gaga",102734,https://open.spotify.com/track/7ju97lgwC2rKQ6wwsf9no9,2020-11-05
128,"Breaking Me",Topic,102632,https://open.spotify.com/track/3H7ihDc1dqLriiWXwsc2po,2020-11-05
129,"Piece Of Your Heart - Alok Remix",MEDUZA,102043,https://open.spotify.com/track/6iW38RGqdDGOofmz2HeXLW,2020-11-05
130,Señorita,"Shawn Mendes",101573,https://open.spotify.com/track/6v3KW9xbzN5yKLt9YKDYA2,2020-11-05
131,"Put Your Records On","Ritt Momney",100925,https://open.spotify.com/track/6AGOKlMZWLCaEJGnaROtF9,2020-11-05
132,Uau!,"Costa Gold",100521,https://open.spotify.com/track/5jo4ocTfihMYTsq1Z4ze9h,2020-11-05
133,"Break My Heart","Dua Lipa",100434,https://open.spotify.com/track/017PF4Q3l4DBUiWoXk4OWT,2020-11-05
134,"Certo e Duvidoso (feat. Gaab) - Ao Vivo","Marcos & Belutti",99994,https://open.spotify.com/track/6TL6UYmqRVC5PuVQb0R1h5,2020-11-05
135,Cabaré,"Dj Guuga",99989,https://open.spotify.com/track/0N2cvvlyEw5NFc00E3FB0D,2020-11-05
136,"Cabeça Voando","Os Barões Da Pisadinha",99973,https://open.spotify.com/track/6wDzwmywQ2X8O0FN1IQGol,2020-11-05
137,Girassol,"Priscilla Alcantara",99947,https://open.spotify.com/track/22rcaYTa2UgcLCbeO0NoNj,2020-11-05
138,"Qual é a do amor (feat. Atitude 67) - Ao vivo","João Gustavo e Murilo",99620,https://open.spotify.com/track/3rfPuNpqMHQKXIPoEF5iFB,2020-11-05
139,"Ta Apaixonado Babaca","Dj Guuga",99434,https://open.spotify.com/track/7N3BrHFlnZbOs8lPGPg1gg,2020-11-05
140,"Ouvi Dizer",Melim,98718,https://open.spotify.com/track/1qCLx3nX25NuhfPjM5E1qV,2020-11-05
141,Golden,"Harry Styles",98485,https://open.spotify.com/track/45S5WTQEGOB1VHr1Q4FuPl,2020-11-05
142,"Midnight Sky","Miley Cyrus",98396,https://open.spotify.com/track/27ycaQnQAxaPiyeg3nr2aB,2020-11-05
143,"motive (with Doja Cat)","Ariana Grande",98210,https://open.spotify.com/track/5GkQIP5mWPi4KZLLXeuFTT,2020-11-05
144,MORE,K/DA,98168,https://open.spotify.com/track/6juLaduD4STCUDWT0AYun4,2020-11-05
145,"Se Namorar Fosse Bom - Ao Vivo","Os Barões Da Pisadinha",97496,https://open.spotify.com/track/39d68jIHbCiFdXWI6jmALW,2020-11-05
146,"Hoje É Rave","Bárbara Labres",96956,https://open.spotify.com/track/2CBpRE0A922XhWLSI8AT9O,2020-11-05
147,"Lose Control",MEDUZA,96541,https://open.spotify.com/track/7CHi4DtfK4heMlQaudCuHK,2020-11-05
148,"Se Eu Fosse Você - Ao Vivo","Henrique & Juliano",96366,https://open.spotify.com/track/3HXLUh9lzSrSLvrvLk2LjC,2020-11-05
149,"Meu talismã",IZA,96051,https://open.spotify.com/track/5aayWOEE7u7bxZ3r7dwIrX,2020-11-05
150,"Savage Love (Laxed - Siren Beat)","Jawsh 685",95815,https://open.spotify.com/track/1xQ6trAsedVPCdbtDAmk0c,2020-11-05
151,"Textão - Ao Vivo","Zé Neto & Cristiano",94565,https://open.spotify.com/track/3yOuQI8yjJaApfdo4hdkVW,2020-11-05
152,"Bebe e Vem Me Procurar","Raí Saia Rodada",94054,https://open.spotify.com/track/3tu0GkIZwwkmILoD4HemBq,2020-11-05
153,"Rave Balança E Bafora",Ventura,93480,https://open.spotify.com/track/7tswnwncDD0zJ1JpFf13Gl,2020-11-05
154,"Adore You","Harry Styles",93431,https://open.spotify.com/track/3jjujdWJ72nww5eGnfs2E7,2020-11-05
155,Heather,"Conan Gray",93394,https://open.spotify.com/track/4xqrdfXkTW4T0RauPLv3WA,2020-11-05
156,"Áudio - Ao Vivo em Brasília","Diego & Victor Hugo",92586,https://open.spotify.com/track/2PqPSf3gtTED79rWGwVtYg,2020-11-05
157,"Um Pedido","Hungria Hip Hop",92397,https://open.spotify.com/track/3CgZi8DMUftJHK6WL2gKc1,2020-11-05
158,Cogulândia,Matuê,91995,https://open.spotify.com/track/5T6mY3sQbvVfLnertXdoST,2020-11-05
159,"Vergonha pra Midia","Salvador Da Rima",91823,https://open.spotify.com/track/5JsxHA8NttHWThpTCToK1J,2020-11-05
160,"A Casa É Sua","Casa Worship",91701,https://open.spotify.com/track/3h3fui1QXImL2zRcs9v2Lc,2020-11-05
161,Morena,"MC Paulin da Capital",90991,https://open.spotify.com/track/2W0VenqvlMW4c65YsxT5zu,2020-11-05
162,SENTADÃO,"PEDRO SAMPAIO",90902,https://open.spotify.com/track/4lKuzrdZrJuCAedbIslF3A,2020-11-05
163,Perdição,L7NNON,90345,https://open.spotify.com/track/7FikD4RFpmSZIvoP3rRwsS,2020-11-05
164,"Hear Me Tonight",Alok,89951,https://open.spotify.com/track/0v8OKUrqZGoEbgEUXScRSQ,2020-11-05
165,"death bed (coffee for your head)",Powfu,89744,https://open.spotify.com/track/7eJMfftS33KTjuF7lTsMCx,2020-11-05
166,"What You Know Bout Love","Pop Smoke",89600,https://open.spotify.com/track/1tkg4EHVoqnhR6iFEXb60y,2020-11-05
167,"Head & Heart (feat. MNEK)","Joel Corry",89540,https://open.spotify.com/track/6cx06DFPPHchuUAcTxznu9,2020-11-05
168,Hb20,Tierry,89336,https://open.spotify.com/track/4cjowWOdLUKomiRwhWpRXJ,2020-11-05
169,"Rave Na Praia","MC Teteu",89196,https://open.spotify.com/track/50YsV2XFugoMrqJK9Ttdly,2020-11-05
170,Hawái,Maluma,88942,https://open.spotify.com/track/1yoMvmasuxZfqHEipJhRbp,2020-11-05
171,Believer,"Imagine Dragons",88721,https://open.spotify.com/track/0pqnGHJpmpxLKifKRmU6WP,2020-11-05
172,"Relógio Parado (Ao Vivo)","Diego & Arnaldo",88477,https://open.spotify.com/track/5n8Y78Pl5q8lqS7sJP61qw,2020-11-05
173,Antes,Matuê,87734,https://open.spotify.com/track/2XymTaHTrQWDEuSyhfZvqF,2020-11-05
174,"Pra Você Guardei O Amor","Nando Reis",87315,https://open.spotify.com/track/1EQ8sBQ7Abv9DvNBzhXAcv,2020-11-05
175,"Pisadinha - Ao Vivo","Diego & Victor Hugo",87238,https://open.spotify.com/track/36P6ptTyxOggYgR2aoZiAl,2020-11-05
176,"Deixa Tudo Como Tá - Ao Vivo",Thiaguinho,86596,https://open.spotify.com/track/0abrd2vT2W3JZBDNezUY7r,2020-11-05
177,Memories,"Maroon 5",86501,https://open.spotify.com/track/2b8fOow8UzyDFAE27YhOZM,2020-11-05
178,"Maçã Verde","MC Hariel",86464,https://open.spotify.com/track/7lJoRyuNJtuiqTcKtuMuIR,2020-11-05
179,"Só Gratidão","Mc Lipi",86396,https://open.spotify.com/track/3HCvks6mkO22FzhieKHI30,2020-11-05
180,"Fala Comigo Bebê - Ao Vivo","Os Barões Da Pisadinha",85923,https://open.spotify.com/track/1dHfCJMj1eJMFcKF7VzqR5,2020-11-05
181,"Tudo de bom",Pk,85517,https://open.spotify.com/track/3YqLyRFwjGuPBT7EHoyQH7,2020-11-05
182,Daisy,Ashnikko,85221,https://open.spotify.com/track/0AUvWawuP0ibk4SQ3sIZjk,2020-11-05
183,"Laugh Now Cry Later (feat. Lil Durk)",Drake,84239,https://open.spotify.com/track/2SAqBLGA283SUiwJ3xOUVI,2020-11-05
184,"Don't Cry For Me (with Jason Derulo)",Alok,84201,https://open.spotify.com/track/0FLwo3U1NrjocfK2FDisrX,2020-11-05
185,"Com ou Sem Mim - Ao Vivo","Gustavo Mioto",83986,https://open.spotify.com/track/5L8ZEyIdZ2KE4Wf51SsuOF,2020-11-05
186,"you broke me first","Tate McRae",83404,https://open.spotify.com/track/45bE4HXI0AwGZXfZtMp8JR,2020-11-05
187,Wonder,"Shawn Mendes",83229,https://open.spotify.com/track/5KCbr5ndeby4y4ggthdiAb,2020-11-05
188,Gelo,Melim,83041,https://open.spotify.com/track/2DsZ6pXK1AG6emFugTeYW3,2020-11-05
189,Nêga,"Tarcísio do Acordeon",82369,https://open.spotify.com/track/3S2iI46NmKyZsoxs2NByIP,2020-11-05
190,"You Got It",Vedo,82264,https://open.spotify.com/track/4lsHZ92XCFOQfzJFBTluk8,2020-11-05
191,"Tempo de Aprender / Energia Surreal / Não Pedi Pra Me Apaixonar - Ao Vivo","Grupo Menos É Mais",82242,https://open.spotify.com/track/3COVZV6VRP4sdXiWTB1XTM,2020-11-05
192,goosebumps,"Travis Scott",81939,https://open.spotify.com/track/6gBFPUFcJLzWGx4lenP6h2,2020-11-05
193,"SET DJ GM 2.0","MC Paulin da Capital",81865,https://open.spotify.com/track/38BuaDkieTqCDqaawXsf78,2020-11-05
194,"Dona de mim",IZA,81822,https://open.spotify.com/track/0H8CBal2Dcu5Yc001VotZN,2020-11-05
195,"Quem Traiu Levou - Ao Vivo","Gusttavo Lima",81107,https://open.spotify.com/track/17Ryox5vWKp92IDW87C5PI,2020-11-05
196,"Ele Não Tem","Jonas Esticado",80958,https://open.spotify.com/track/1JHvLQWHUoYuapwQikeDuD,2020-11-05
197,"Poesia Acústica - Paris","Pineapple StormTv",80841,https://open.spotify.com/track/5JKaHAt4atuNoLqpyDgbyK,2020-11-05
198,"Gorilla Roxo",Matuê,80227,https://open.spotify.com/track/0bV0LtjtZH76gD0ujPYS3n,2020-11-05
199,"Carreira Solo - Ao Vivo","Gusttavo Lima",80084,https://open.spotify.com/track/1MmS7UIy3J1BTxfGCRvVqN,2020-11-05
200,"Down Below","Roddy Ricch",79819,https://open.spotify.com/track/4SWWe2OYC4mqf40Gc2RSdl,2020-11-05
1,"Recairei - Ao Vivo","Os Barões Da Pisadinha",827412,https://open.spotify.com/track/2JTir3y1VuJQmexiTCMcTP,2020-11-06
2,"Investe Em Mim","Jonas Esticado",689287,https://open.spotify.com/track/15k1TDabqSEmyXOwMq9RM7,2020-11-06
3,"Figurinha - Ao Vivo","Douglas & Vinicius",608585,https://open.spotify.com/track/187Pge0WmJNoS73kaIORSE,2020-11-06
4,"Só Você","MC Rogerinho",550496,https://open.spotify.com/track/59kRq8rb5uJCrSYYbGCk7o,2020-11-06
5,"Cidade Inteira","Eric Land",531693,https://open.spotify.com/track/7J3QMuDCSv56jRSiD9jFBF,2020-11-06
6,"De Menina pra Mulher - Ao Vivo","Gusttavo Lima",526338,https://open.spotify.com/track/42P3wMiPfXQM93TYZotuPQ,2020-11-06
7,"Basta Você Me Ligar - Ao Vivo","Os Barões Da Pisadinha",517177,https://open.spotify.com/track/3rRin3LyLY92kpEbkCgwf4,2020-11-06
8,"Oh Juliana",Niack,515765,https://open.spotify.com/track/4xWzZmX4K1yyrdtRfbUvjt,2020-11-06
9,"Quero Você do Jeito Que Quiser","Marília Mendonça",490090,https://open.spotify.com/track/64I6t2tuUGnIlaDIzHJ6YI,2020-11-06
10,"Só Tem Eu","Zé Felipe",489834,https://open.spotify.com/track/1X0MaGErD8rcspqQs9s2m0,2020-11-06
11,"Alô Ambev (Segue Sua Vida) - Ao Vivo","Zé Neto & Cristiano",452122,https://open.spotify.com/track/5m5aY6S9ttfIG157xli2Rs,2020-11-06
12,"Sogra - Ao Vivo",Dilsinho,449013,https://open.spotify.com/track/4zsiMjB0794HztyqUkD3Zi,2020-11-06
13,"Nem Doeu - Ao Vivo","Matheus & Kauan",438994,https://open.spotify.com/track/260n4ECk9j4IEvTAVBYojl,2020-11-06
14,"Alô Ex-Amor - Ao Vivo","João Bosco e Gabriel",436414,https://open.spotify.com/track/2QCwoYDn4DRfjs4NhW2KpO,2020-11-06
15,Rita,Tierry,433195,https://open.spotify.com/track/1nDCZBI8MaHXI2f36dnQyG,2020-11-06
16,"Tá Rocheda","Os Barões Da Pisadinha",412546,https://open.spotify.com/track/3dPvQLKl42dMYWV4LWRTLK,2020-11-06
17,"Me Gusta (with Cardi B & Myke Towers)",Anitta,402544,https://open.spotify.com/track/7e1VoRlNumuEkXlITMHKLE,2020-11-06
18,"Volta por Baixo - Ao Vivo","Henrique & Juliano",391644,https://open.spotify.com/track/034Wtb0MsgU2kIT7PWdi4c,2020-11-06
19,"Comprei um Lança","Mc Jacaré",384516,https://open.spotify.com/track/12v6LfkX9YIR3uLefIAAYZ,2020-11-06
20,"Vai Ter Que Aguentar","Mc Don Juan",368857,https://open.spotify.com/track/5GAdMAL3tRJkVN1HtwohK2,2020-11-06
21,"Poesia Acústica #9: Melhor Forma","Pineapple StormTv",367280,https://open.spotify.com/track/2fmeSswdyVq4wcqhY41UHk,2020-11-06
22,Ranking,"Jorge & Mateus",356368,https://open.spotify.com/track/0RaIjuKU5hudMteEXwr4RS,2020-11-06
23,"Barzinho Aleatório - Ao Vivo","Zé Neto & Cristiano",356072,https://open.spotify.com/track/3WjSkl7VDWY1prwJw7dSG0,2020-11-06
24,positions,"Ariana Grande",355054,https://open.spotify.com/track/35mvY5S1H3J2QZyna3TFe0,2020-11-06
25,"Pulei na Piscina - Ao Vivo","Guilherme & Benuto",350818,https://open.spotify.com/track/1uA7fD01YlQr1Rm0oyNB4H,2020-11-06
26,"Tô Torcendo - Ao Vivo","Gusttavo Lima",350115,https://open.spotify.com/track/74mtYZvn0rZm4EKrQwmOoX,2020-11-06
27,"Amor e Fé - Acústico","Hungria Hip Hop",347374,https://open.spotify.com/track/5ra6CI0pEzqjxPEZeBz0d7,2020-11-06
28,"Melhor Eu Ir / Ligando os Fatos / Sonho de Amor / Deixa Eu Te Querer - Ao Vivo","Grupo Menos É Mais",347208,https://open.spotify.com/track/2ptHQBO7TQhEkXOeK9ST59,2020-11-06
29,"Desejando Eu (Ao Vivo)","Murilo Huff",346837,https://open.spotify.com/track/3056x1XkmICnQmji68rrft,2020-11-06
30,"Não Vai Embora",Dilsinho,321526,https://open.spotify.com/track/28atBekPVlTdnU4M9Z7udd,2020-11-06
31,"Viva Voz - Ao Vivo Em São Paulo / 2019","Lauana Prado",320366,https://open.spotify.com/track/08Sd5vVcIH3uKeAiaJdoYj,2020-11-06
32,"Desce Pro Play (PA PA PA)","Mc Zaac",319381,https://open.spotify.com/track/4zGtfOglDBfVUypabBwIjQ,2020-11-06
33,"Briga Feia - Ao Vivo","Henrique & Juliano",312675,https://open.spotify.com/track/6e8X0VVUO6BIZMnDvICDOR,2020-11-06
34,"Não Valeu","Wesley Safadão",308037,https://open.spotify.com/track/1GWUiFYLYEapxYHnASyOud,2020-11-06
35,"Litrão - Ao Vivo Em Recife / 2020","Matheus & Kauan",302554,https://open.spotify.com/track/4DngRKOpRPrkbzImUB0zgh,2020-11-06
36,"Café e Amor - Ao Vivo","Gusttavo Lima",295353,https://open.spotify.com/track/7benotyTvLY2vUsDKtxbiA,2020-11-06
37,"Watermelon Sugar","Harry Styles",289675,https://open.spotify.com/track/6UelLqGlWMcVH1E5c4H7lY,2020-11-06
38,"S de Saudade","Luíza & Maurílio",284088,https://open.spotify.com/track/3J5Pu25BODMex4Jpy4l6FL,2020-11-06
39,"Deus é por nós","MC Marks",280794,https://open.spotify.com/track/6jcGoHrqfRW6fI2I6xtwBQ,2020-11-06
40,"Liberdade Provisória - Ao Vivo","Henrique & Juliano",275076,https://open.spotify.com/track/1vG3YuKRYqPwTmNmYgqkpg,2020-11-06
41,"Máquina do Tempo",Matuê,270545,https://open.spotify.com/track/5oI9blwsXC8AkTWw6wASY8,2020-11-06
42,"Despedida - Ao Vivo","Wesley Safadão",269970,https://open.spotify.com/track/5LpLYzpV0HWKI2DlPmNywg,2020-11-06
43,"se essa vida fosse um filme","GIULIA BE",269168,https://open.spotify.com/track/0hDphSo7vI7gCjEPpD6gu0,2020-11-06
44,"WAP (feat. Megan Thee Stallion)","Cardi B",264566,https://open.spotify.com/track/4Oun2ylbjFKMPTiaSbbCih,2020-11-06
45,TOMA,"Luísa Sonza",257918,https://open.spotify.com/track/7pDcS0EVMJR0YwjXmHcCRg,2020-11-06
46,"Romance Desapegado","Japinha Conde",256196,https://open.spotify.com/track/54OqGd3dmug64db0ZtOtF4,2020-11-06
47,"Tudo Indica (feat. Jorge & Mateus) - Ao Vivo","Marcos & Belutti",254628,https://open.spotify.com/track/0eoMMLrWtXbLk64baeESkc,2020-11-06
48,"Blinding Lights","The Weeknd",248443,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b,2020-11-06
49,Letícia,"Zé Vaqueiro",243769,https://open.spotify.com/track/6hMgrcA1OpqYBDPyzYcosI,2020-11-06
50,777-666,Matuê,242722,https://open.spotify.com/track/3sGcETRMuAgcPgjDpIkgMn,2020-11-06
51,"Marília Mendonça",BIN,233083,https://open.spotify.com/track/73uParILjIm5rcP0C2bpMF,2020-11-06
52,"Graveto - Ao Vivo","Marília Mendonça",222243,https://open.spotify.com/track/3tc8Z4lGzOIwmIVftsxO6o,2020-11-06
53,"Tudo Aconteceu","MC Du Black",221923,https://open.spotify.com/track/67mqU3FeErlvWwsxnMfvQo,2020-11-06
54,"Manda Áudio","Di Propósito",217298,https://open.spotify.com/track/0in6Rc29qdyOkhKyYw4A84,2020-11-06
55,"A Gente Fez Amor - Ao Vivo","Gusttavo Lima",215258,https://open.spotify.com/track/3tv697PZNnaQN0Mn2zGhS5,2020-11-06
56,"Libera Ela - Ao Vivo","Maiara & Maraisa",214672,https://open.spotify.com/track/0SJtvFn4vqgJPscSbEPaql,2020-11-06
57,"Segunda Taça - Ao Vivo","João Bosco & Vinicius",207553,https://open.spotify.com/track/1WTJdd2atKxhUrbvUHjNDt,2020-11-06
58,"Homenagem aos Relíquias (feat. Menor MC, MC Vinny, MC Julio D.E R., MC Leozinho ZS & Makalo)","DJ Matt D",207521,https://open.spotify.com/track/4vDC52DnSqAjec5Vh5yJEb,2020-11-06
59,Talarica,"Rennan da Penha",205390,https://open.spotify.com/track/01mKvmXQLhr3MEoiAEAcP2,2020-11-06
60,"Um Sabadão Desse Uma Lua Dessa","Mc Talibã",204107,https://open.spotify.com/track/3KfyRuNdcCGsZb15sqrXDA,2020-11-06
61,"Te Prometo",DENNIS,203242,https://open.spotify.com/track/7Ac3BmqTQoLdAt7HtZyfgN,2020-11-06
62,"Pipa Voada (feat. Emicida)",Rashid,198458,https://open.spotify.com/track/3oqC4Ta40ft6NnTJwcUTdi,2020-11-06
63,"Cheirosa - Ao Vivo","Jorge & Mateus",198036,https://open.spotify.com/track/2PWjKmjyTZeDpmOUa3a5da,2020-11-06
64,"menina solta","GIULIA BE",195035,https://open.spotify.com/track/2MOq63fxuFLYQM3CsDcFs1,2020-11-06
65,"Pode Sumir","Luíza & Maurílio",188801,https://open.spotify.com/track/5OzvtpasMB3aPWpfVr0PsA,2020-11-06
66,"Tudo que Eu Queria - Ao Vivo","Gusttavo Lima",188075,https://open.spotify.com/track/4VfG3ntsNSyNr7lPZZyvTE,2020-11-06
67,"Slow Down (feat. Jorja Smith) - Vintage Culture & Slow Motion Remix","Maverick Sabre",186002,https://open.spotify.com/track/5PNvgiKSwMdjBsDsgFCFLX,2020-11-06
68,"Don't Start Now","Dua Lipa",185508,https://open.spotify.com/track/3PfIrDoz19wz7qK7tYeu62,2020-11-06
69,"Meu Lado da História",Nandx710,183976,https://open.spotify.com/track/08LiZsFrLkWYtd20jeqWLh,2020-11-06
70,Avançada,"MC Kevinho",183492,https://open.spotify.com/track/1fWITNjgwmKEonjikQUaa1,2020-11-06
71,"Facas - Ao Vivo","Diego & Victor Hugo",183016,https://open.spotify.com/track/1ere9b9vDw2N3m9d4uiXxa,2020-11-06
72,"Saudade Sua","Gusttavo Lima",182108,https://open.spotify.com/track/6NM06xgqxQ0HU5lxbt2JHi,2020-11-06
73,"Seu Beijo Joga Sujo","Avine Vinny",180716,https://open.spotify.com/track/2enk2whIgJyoe0O9HRQZJV,2020-11-06
74,BRABA,"Luísa Sonza",180550,https://open.spotify.com/track/2WlZuBDgLfT7Kc0admhFdg,2020-11-06
75,"Século 21","Leo Santana",179320,https://open.spotify.com/track/7jiGFTWeO3MmMN9dpHRjUZ,2020-11-06
76,"Deve ser horrível dormir sem mim","Manu Gavassi",178135,https://open.spotify.com/track/6Q9NH5cNBY58nJkp5Jbs9j,2020-11-06
77,"Declaração pro Bar - Ao Vivo","Guilherme & Benuto",174943,https://open.spotify.com/track/48CAeajgzcGJaVUSsXd7h0,2020-11-06
78,"Tudo no Sigilo (Vytinho NG e Bianca)","Vytinho NG",174871,https://open.spotify.com/track/60wF0XnX7A0jVpDNA5v8vi,2020-11-06
79,"Roses - Imanbek Remix","SAINt JHN",174767,https://open.spotify.com/track/2Wo6QQD1KMDWeFkkjLqwx5,2020-11-06
80,"Party On My Own (feat. FAULHABER)",Alok,174572,https://open.spotify.com/track/4c9Py6O1NeuYKbJ8Ok7mTl,2020-11-06
81,"Amor da Despedida","Os Barões Da Pisadinha",173533,https://open.spotify.com/track/0WlmiIK5qFQ4dAB4mCA4sI,2020-11-06
82,"Casa de Praia - Ao Vivo","Os Barões Da Pisadinha",172246,https://open.spotify.com/track/6Teco2qa7OBfa7mjaMYSbO,2020-11-06
83,"Na Raba Toma Tapão",Niack,171101,https://open.spotify.com/track/0AGS6ZRgzobrazmCi6pYMe,2020-11-06
84,Flores,Vitão,168199,https://open.spotify.com/track/25gD4PQjxCLnwIY2n23aEl,2020-11-06
85,"E Nós Tem um Charme Que É da Hora","Mc Dricka",165520,https://open.spotify.com/track/4koUrXFuoId1b6wrMF3laS,2020-11-06
86,"Lemonade (feat. Gunna, Don Toliver & NAV)","Internet Money",164688,https://open.spotify.com/track/7hxHWCCAIIxFLCzvDgnQHX,2020-11-06
