,Position,"Track Name",Artist,Streams,URL,data_chart
80,"Segunda Taça - Ao Vivo","João Bosco & Vinicius",149828,https://open.spotify.com/track/1WTJdd2atKxhUrbvUHjNDt,2020-12-01
81,"Don't Say Goodbye (feat. Tove Lo)",Alok,149679,https://open.spotify.com/track/0GTPmh5G40joBg93vcSQNq,2020-12-01
82,"Facas - Ao Vivo","Diego & Victor Hugo",149171,https://open.spotify.com/track/1ere9b9vDw2N3m9d4uiXxa,2020-12-01
83,"Tudo Aconteceu","MC Du Black",148735,https://open.spotify.com/track/67mqU3FeErlvWwsxnMfvQo,2020-12-01
84,"Seu Beijo Joga Sujo","Avine Vinny",148628,https://open.spotify.com/track/2enk2whIgJyoe0O9HRQZJV,2020-12-01
85,"Marília Mendonça",BIN,148456,https://open.spotify.com/track/73uParILjIm5rcP0C2bpMF,2020-12-01
86,"Party On My Own (feat. FAULHABER)",Alok,144528,https://open.spotify.com/track/4c9Py6O1NeuYKbJ8Ok7mTl,2020-12-01
87,"Pipa Voada (feat. Emicida)",Rashid,143954,https://open.spotify.com/track/3oqC4Ta40ft6NnTJwcUTdi,2020-12-01
88,"Slow Down (feat. Jorja Smith) - Vintage Culture & Slow Motion Remix","Maverick Sabre",142298,https://open.spotify.com/track/5PNvgiKSwMdjBsDsgFCFLX,2020-12-01
89,"Ele Não Tem","Jonas Esticado",141986,https://open.spotify.com/track/1JHvLQWHUoYuapwQikeDuD,2020-12-01
90,"É Sal",Matuê,141390,https://open.spotify.com/track/2c80HnIOPMmQQVQllQEWb5,2020-12-01
91,Talarica,"Rennan da Penha",138816,https://open.spotify.com/track/01mKvmXQLhr3MEoiAEAcP2,2020-12-01
92,"Roses - Imanbek Remix","SAINt JHN",138223,https://open.spotify.com/track/5f5tMrP3ZZbNtiLIHKOQLS,2020-12-01
93,"Foi Pá Pum","Simone & Simaria",138032,https://open.spotify.com/track/6F7tttrdq7aUdxXVeo0nKp,2020-12-01
94,"Libera Ela - Ao Vivo","Maiara & Maraisa",137453,https://open.spotify.com/track/0SJtvFn4vqgJPscSbEPaql,2020-12-01
95,BRABA,"Luísa Sonza",137015,https://open.spotify.com/track/2WlZuBDgLfT7Kc0admhFdg,2020-12-01
96,"Kenny G",Matuê,136889,https://open.spotify.com/track/3MkdA6vwF0ifRl86yzTlJW,2020-12-01
97,"Life Goes On",BTS,136783,https://open.spotify.com/track/249gnXrbfmV8NG6jTEMSwD,2020-12-01
98,"É Só Botada","MC Levin",135028,https://open.spotify.com/track/07c9lzwx1IIm101PnB4BZu,2020-12-01
99,"Lemonade (feat. Gunna, Don Toliver & NAV)","Internet Money",134359,https://open.spotify.com/track/7hxHWCCAIIxFLCzvDgnQHX,2020-12-01
100,Flores,Vitão,128346,https://open.spotify.com/track/25gD4PQjxCLnwIY2n23aEl,2020-12-01
101,"Poesia Acústica #6: Era uma Vez","Pineapple StormTv",128185,https://open.spotify.com/track/13Rf6RaZT13TW4xLQR3MQr,2020-12-01
102,"Amor de Fim de Noite",Orochi,126074,https://open.spotify.com/track/1Nmcs8zk7LfcvHRgLtTM5J,2020-12-01
103,Avançada,"MC Kevinho",125622,https://open.spotify.com/track/1fWITNjgwmKEonjikQUaa1,2020-12-01
104,inesquecível,"GIULIA BE",122820,https://open.spotify.com/track/3bUDPTCStUeLcUgXgvepQh,2020-12-01
105,"Meu talismã",IZA,121812,https://open.spotify.com/track/5aayWOEE7u7bxZ3r7dwIrX,2020-12-01
